Date,Gold Price (INR / 10gms),Silver Price (INR / 1kg),Price_Nifty,Price_Sensex
02-01-2018,26941.49638,35030.82415,"10,435.55","33,812.75"
03-01-2018,26793.886,34895.83221,"10,435.55","33,812.75"
04-01-2018,26802.26006,34927.55533,"10,435.55","33,812.75"
05-01-2018,26835.32914,34951.22586,"10,435.55","33,812.75"
06-01-2018,26835.32914,34951.22586,"10,435.55","33,812.75"
07-01-2018,26835.32914,34951.22586,"10,435.55","33,812.75"
08-01-2018,26847.9867,34924.04497,"10,435.55","33,812.75"
09-01-2018,26744.67861,34792.56245,"10,435.55","33,812.75"
10-01-2018,27001.16849,35057.02005,"10,435.55","33,812.75"
11-01-2018,27121.59897,34869.30943,"10,435.55","33,812.75"
12-01-2018,27160.97619,35046.42089,"10,435.55","33,812.75"
13-01-2018,27160.97619,35046.42089,"10,435.55","33,812.75"
14-01-2018,27160.97619,35046.42089,"10,435.55","33,812.75"
15-01-2018,27379.8447,35419.51162,"10,442.20","33,812.26"
16-01-2018,27241.0144,34912.85686,"10,443.20","33,793.38"
17-01-2018,27480.50481,35408.93855,"10,504.80","33,969.64"
18-01-2018,27337.00913,35069.02011,"10,558.85","34,153.85"
19-01-2018,27411.72257,34989.75636,"10,623.60","34,352.79"
20-01-2018,27411.72257,34989.75636,"10,623.60","34,352.79"
21-01-2018,27411.72257,34989.75636,"10,623.60","34,352.79"
22-01-2018,27348.2587,34960.04705,"10,637.00","34,443.19"
23-01-2018,27385.25418,34873.37753,"10,632.20","34,433.07"
24-01-2018,27745.63732,35232.88066,"10,651.20","34,503.49"
25-01-2018,27696.19998,35812.20146,"10,681.25","34,592.39"
26-01-2018,27657.62249,35564.61821,"10,681.25","34,592.39"
27-01-2018,27657.62249,35564.61821,"10,681.25","34,592.39"
28-01-2018,27657.62249,35564.61821,"10,681.25","34,592.39"
29-01-2018,27465.89435,35429.64457,"10,741.55","34,843.51"
30-01-2018,27530.33412,35403.16221,"10,700.45","34,771.05"
31-01-2018,27576.90887,35325.83471,"10,788.55","35,081.82"
01-02-2018,27455.76835,35185.79476,"10,817.00","35,260.29"
02-02-2018,27379.65778,35243.99475,"10,894.70","35,511.58"
03-02-2018,27379.65778,35243.99475,"10,894.70","35,511.58"
04-02-2018,27379.65778,35243.99475,"10,894.70","35,511.58"
05-02-2018,27497.5813,34794.6674,"10,966.20","35,798.01"
06-02-2018,27530.20965,34748.77371,"11,083.70","36,139.98"
07-02-2018,27248.0933,34331.38393,"11,086.00","36,161.64"
08-02-2018,27151.89161,33737.32702,"11,069.65","36,050.44"
09-02-2018,27225.3851,33884.11637,"11,130.40","36,283.25"
10-02-2018,27225.3851,33884.11637,"11,130.40","36,283.25"
11-02-2018,27225.3851,33884.11637,"11,130.40","36,283.25"
12-02-2018,27298.08776,33908.42407,"11,049.65","36,033.73"
13-02-2018,27391.81701,34318.56653,"11,027.70","35,965.02"
14-02-2018,27602.6164,34248.93395,"11,016.90","35,906.66"
15-02-2018,27839.59417,34633.52967,"10,760.60","35,066.75"
16-02-2018,27774.00803,34581.42336,"10,666.55","34,757.16"
17-02-2018,27774.00803,34581.42336,"10,666.55","34,757.16"
18-02-2018,27774.00803,34581.42336,"10,666.55","34,757.16"
19-02-2018,27872.78086,34608.11644,"10,498.25","34,195.94"
20-02-2018,27786.91151,34364.22912,"10,476.70","34,082.71"
21-02-2018,27746.99948,34274.4785,"10,576.85","34,413.16"
22-02-2018,27714.97396,34352.92252,"10,454.95","34,005.76"
23-02-2018,27730.70971,34685.57463,"10,539.75","34,300.47"
24-02-2018,27730.70971,34685.57463,"10,539.75","34,300.47"
25-02-2018,27730.70971,34685.57463,"10,539.75","34,300.47"
26-02-2018,27820.28185,34777.96014,"10,500.90","34,155.95"
27-02-2018,27612.22111,34594.6817,"10,545.50","34,297.47"
28-02-2018,27502.25819,34308.69406,"10,452.30","34,010.76"
01-03-2018,27430.22727,34220.92586,"10,378.40","33,774.66"
02-03-2018,27697.15551,34446.01999,"10,360.40","33,703.59"
03-03-2018,27697.15551,34446.01999,"10,360.40","33,703.59"
04-03-2018,27697.15551,34446.01999,"10,360.40","33,703.59"
05-03-2018,27672.93628,34601.64935,"10,397.45","33,844.86"
06-03-2018,27824.92533,34734.13391,"10,382.70","33,819.50"
