Date,Gold Price (INR / 10gms),Silver Price (INR / 1kg),Price_Nifty,Price_Sensex,Impact
2018-01-02,26941.49638,35030.82415,"10,435.55","33,812.75",-0.22
2018-01-03,26793.886,34895.83221,"10,435.55","33,812.75",-0.5
2018-01-04,26802.26006,34927.55533,"10,435.55","33,812.75",0.32
2018-01-05,26835.32914,34951.22586,"10,435.55","33,812.75",0.2
2018-01-06,26835.32914,34951.22586,"10,435.55","33,812.75",-0.12
2018-01-07,26835.32914,34951.22586,"10,435.55","33,812.75",0.98
2018-01-08,26847.9867,34924.04497,"10,435.55","33,812.75",-0.52
2018-01-09,26744.67861,34792.56245,"10,435.55","33,812.75",-0.02
2018-01-10,27001.16849,35057.02005,"10,435.55","33,812.75",-0.53
2018-01-11,27121.59897,34869.30943,"10,435.55","33,812.75",-0.58
2018-01-12,27160.97619,35046.42089,"10,435.55","33,812.75",-0.12
2018-01-13,27160.97619,35046.42089,"10,435.55","33,812.75",-0.6
2018-01-14,27160.97619,35046.42089,"10,435.55","33,812.75",-0.6
2018-01-15,27379.8447,35419.51162,"10,442.20","33,812.26",-0.54
2018-01-16,27241.0144,34912.85686,"10,443.20","33,793.38",-0.41
2018-01-17,27480.50481,35408.93855,"10,504.80","33,969.64",0.11
2018-01-18,27337.00913,35069.02011,"10,558.85","34,153.85",-0.23
2018-01-19,27411.72257,34989.75636,"10,623.60","34,352.79",-0.39
2018-01-20,27411.72257,34989.75636,"10,623.60","34,352.79",-0.84
2018-01-21,27411.72257,34989.75636,"10,623.60","34,352.79",-0.5
2018-01-22,27348.2587,34960.04705,"10,637.00","34,443.19",-0.45
2018-01-23,27385.25418,34873.37753,"10,632.20","34,433.07",-0.26
2018-01-24,27745.63732,35232.88066,"10,651.20","34,503.49",-0.81
2018-01-25,27696.19998,35812.20146,"10,681.25","34,592.39",-0.84
2018-01-26,27657.62249,35564.61821,"10,681.25","34,592.39",0.47
2018-01-27,27657.62249,35564.61821,"10,681.25","34,592.39",-0.38
2018-01-28,27657.62249,35564.61821,"10,681.25","34,592.39",-0.49
2018-01-29,27465.89435,35429.64457,"10,741.55","34,843.51",-0.22
2018-01-30,27530.33412,35403.16221,"10,700.45","34,771.05",-0.45
2018-01-31,27576.90887,35325.83471,"10,788.55","35,081.82",-0.71
2018-02-01,27455.76835,35185.79476,"10,817.00","35,260.29",-0.09
2018-02-02,27379.65778,35243.99475,"10,894.70","35,511.58",-0.25
2018-02-03,27379.65778,35243.99475,"10,894.70","35,511.58",0.0
2018-02-04,27379.65778,35243.99475,"10,894.70","35,511.58",-0.34
2018-02-05,27497.5813,34794.6674,"10,966.20","35,798.01",-0.01
2018-02-06,27530.20965,34748.77371,"11,083.70","36,139.98",-0.22
2018-02-07,27248.0933,34331.38393,"11,086.00","36,161.64",-0.44
2018-02-08,27151.89161,33737.32702,"11,069.65","36,050.44",-0.09
2018-02-09,27225.3851,33884.11637,"11,130.40","36,283.25",-0.14
2018-02-10,27225.3851,33884.11637,"11,130.40","36,283.25",-0.53
2018-02-11,27225.3851,33884.11637,"11,130.40","36,283.25",-0.2
2018-02-12,27298.08776,33908.42407,"11,049.65","36,033.73",-0.01
2018-02-13,27391.81701,34318.56653,"11,027.70","35,965.02",-0.37
2018-02-14,27602.6164,34248.93395,"11,016.90","35,906.66",0.09
2018-02-15,27839.59417,34633.52967,"10,760.60","35,066.75",-0.76
2018-02-16,27774.00803,34581.42336,"10,666.55","34,757.16",-0.11
2018-02-17,27774.00803,34581.42336,"10,666.55","34,757.16",-0.44
2018-02-18,27774.00803,34581.42336,"10,666.55","34,757.16",-0.46
2018-02-19,27872.78086,34608.11644,"10,498.25","34,195.94",-0.51
2018-02-20,27786.91151,34364.22912,"10,476.70","34,082.71",0.21
2018-02-21,27746.99948,34274.4785,"10,576.85","34,413.16",-0.19
2018-02-22,27714.97396,34352.92252,"10,454.95","34,005.76",-0.22
2018-02-23,27730.70971,34685.57463,"10,539.75","34,300.47",-0.71
2018-02-24,27730.70971,34685.57463,"10,539.75","34,300.47",-0.01
2018-02-25,27730.70971,34685.57463,"10,539.75","34,300.47",-1.0
2018-02-26,27820.28185,34777.96014,"10,500.90","34,155.95",-0.77
2018-02-27,27612.22111,34594.6817,"10,545.50","34,297.47",-0.19
2018-02-28,27502.25819,34308.69406,"10,452.30","34,010.76",-0.01
2018-03-01,27430.22727,34220.92586,"10,378.40","33,774.66",-0.13
2018-03-02,27697.15551,34446.01999,"10,360.40","33,703.59",0.0
2018-03-03,27697.15551,34446.01999,"10,360.40","33,703.59",-0.8
2018-03-04,27697.15551,34446.01999,"10,360.40","33,703.59",-0.24
2018-03-05,27672.93628,34601.64935,"10,397.45","33,844.86",0.04
2018-03-06,27824.92533,34734.13391,"10,382.70","33,819.50",0.01
2018-03-07,27734.74518,34725.80363,"10,491.05","34,142.15",-0.14
2018-03-08,27560.00811,34382.20543,"10,582.60","34,445.75",-0.47
2018-03-09,27636.19941,34498.1635,"10,554.30","34,346.39",0.29
2018-03-10,27636.19941,34498.1635,"10,554.30","34,346.39",-0.32
2018-03-11,27636.19941,34498.1635,"10,554.30","34,346.39",-0.54
2018-03-12,27552.66895,34369.03822,"10,492.85","34,184.04",0.5
2018-03-13,27619.61326,34473.62048,"10,458.35","34,046.94",0.3
2018-03-14,27586.01901,34608.88109,"10,358.85","33,746.78",-0.4
2018-03-15,27488.89952,34435.38351,"10,249.25","33,317.20",-0.59
2018-03-16,27385.67357,34438.51401,"10,154.20","33,033.09",-0.35
2018-03-17,27385.67357,34438.51401,"10,154.20","33,033.09",-0.07
2018-03-18,27385.67357,34438.51401,"10,154.20","33,033.09",-0.75
2018-03-19,27453.92275,34066.37702,"10,242.65","33,351.57",-0.13
2018-03-20,27485.79371,34068.96627,"10,226.85","33,307.14",-0.2
2018-03-21,27712.34493,34070.23448,"10,421.40","33,917.94",-0.46
2018-03-22,27804.56848,34558.28698,"10,426.85","33,856.78",0.32
2018-03-23,28210.52123,34629.43085,"10,410.90","33,835.74",-0.49
2018-03-24,28210.52123,34629.43085,"10,410.90","33,835.74",-0.77
2018-03-25,28210.52123,34629.43085,"10,410.90","33,835.74",-0.93
2018-03-26,28253.93504,34701.11365,"10,360.15","33,685.54",0.15
2018-03-27,27955.08783,34676.85427,"10,195.15","33,176.00",-0.31
2018-03-28,27817.86883,34353.48655,"10,094.25","32,923.12",-0.79
2018-03-29,27729.8328,34100.66684,"10,124.35","32,996.76",-0.34
2018-03-30,27729.8328,34100.66684,"10,124.35","32,996.76",0.17
2018-03-31,27729.8328,34100.66684,"10,124.35","32,996.76",-0.4
