Date,Gold Price (INR / 10gms),Silver Price (INR / 1kg),Price_Nifty,Price_Sensex,Impact
2018-01-01,,,,33812.75,-0.59
2018-01-02,26975.4,35156.11,10442.2,33812.26,-0.54
2018-01-03,26854.25,35062.32,10443.2,33793.38,-0.56
2018-01-04,26902.19,35047.88,10504.8,33969.64,-0.6
2018-01-05,26899.53,35053.12,10558.85,34153.85,-0.55
2018-01-08,26820.55,34708.46,10623.6,34352.79,-0.56
2018-01-09,26759.06,34549.94,10637.0,34443.19,-0.6
2018-01-10,26953.32,34705.42,10632.2,34433.07,-0.6
2018-01-11,27071.4,34631.54,10651.2,34503.49,-0.57
2018-01-12,27296.11,34942.05,10681.25,34592.39,-0.56
2018-01-15,27260.27,34896.17,10741.55,34843.51,-0.62
2018-01-16,27272.26,34967.47,10700.45,34771.05,-0.6
2018-01-17,27528.88,35192.93,10788.55,35081.82,-0.46
2018-01-18,27209.8,34664.8,10817.0,35260.29,-0.59
2018-01-19,27349.12,34856.31,10894.7,35511.58,-0.59
2018-01-22,27313.39,34746.64,10966.2,35798.01,-1.0
2018-01-23,27432.51,34616.68,11083.7,36139.98,-1.0
2018-01-24,27790.88,35714.73,11086.0,36161.64,-1.0
2018-01-25,27848.5,35875.6,11069.65,36050.44,-1.0
2018-01-26,27625.66,35527.46,11069.65,36050.44,-1.0
2018-01-29,27624.31,35525.73,11130.4,36283.25,-1.0
2018-01-30,27335.89,34825.93,11049.65,36033.73,-1.0
2018-01-31,27452.85,35272.5,11027.7,35965.02,-1.0
2018-02-01,27516.17,35038.45,11016.9,35906.66,-1.0
2018-02-02,27432.13,34299.93,10760.6,35066.75,-1.0
2018-02-05,27485.23,34308.08,10666.55,34757.16,-0.98
2018-02-06,27420.64,34217.38,10498.25,34195.94,-0.98
2018-02-07,26979.67,33335.82,10476.7,34082.71,-0.98
2018-02-08,27181.84,33673.36,10576.85,34413.16,-0.98
2018-02-09,27204.94,33389.29,10454.95,34005.76,-1.0
2018-02-12,27337.33,34162.38,10539.75,34300.47,-1.0
2018-02-13,27448.67,34116.05,10539.75,34300.47,-1.0
2018-02-14,28000.41,34823.38,10500.9,34155.95,-1.0
2018-02-15,27832.41,34534.75,10545.5,34297.47,-1.0
2018-02-16,27796.62,34293.87,10452.3,34010.76,-1.0
2018-02-19,28009.41,34556.4,10378.4,33774.66,-1.0
2018-02-20,27557.77,34063.54,10360.4,33703.59,-1.0
2018-02-21,27736.59,34626.95,10397.45,33844.86,-1.0
2018-02-22,27761.94,34590.8,10382.7,33819.5,-1.0
2018-02-23,27735.95,34405.78,10491.05,34142.15,-1.0
2018-02-26,27681.88,34411.49,10582.6,34445.75,-1.0
2018-02-27,27398.42,34044.44,10554.3,34346.39,-1.0
2018-02-28,27453.24,34066.64,10492.85,34184.04,-1.0
2018-03-01,27328.52,33979.74,10458.35,34046.94,-1.0
2018-03-02,27672.04,34335.03,10458.35,34046.94,-1.0
2018-03-05,27624.75,34241.2,10358.85,33746.78,-1.0
2018-03-06,27871.14,34932.97,10249.25,33317.2,-1.0
2018-03-07,27663.83,34273.11,10154.2,33033.09,-1.0
2018-03-08,27537.08,34290.44,10242.65,33351.57,-1.0
2018-03-09,27673.93,34625.9,10226.85,33307.14,-1.0
2018-03-12,27557.91,34402.48,10421.4,33917.94,-1.0
2018-03-13,27685.41,34575.96,10426.85,33856.78,-1.0
2018-03-14,27604.1,34321.7,10410.9,33835.74,-1.0
2018-03-15,27449.38,34088.67,10360.15,33685.54,-1.0
2018-03-16,27409.6,33866.41,10195.15,33176.0,-1.0
2018-03-19,27545.99,34003.64,10094.25,32923.12,-1.0
2018-03-20,27487.91,33806.92,10124.35,32996.76,-0.98
2018-03-21,27698.65,34305.05,10155.25,33136.18,-0.98
2018-03-22,27751.24,34156.66,10114.75,33006.27,-1.0
2018-03-23,28267.06,34629.41,9998.05,32596.54,-1.0
2018-03-26,28310.76,34765.55,10130.65,33066.41,-1.0
2018-03-27,27898.94,34297.0,10184.15,33174.39,-1.0
2018-03-28,27628.62,33810.74,10113.7,32968.68,-1.0
2018-03-29,27707.31,33980.62,10113.7,32968.68,-1.0
2018-03-30,27656.61,33918.45,10113.7,32968.68,-1.0
2018-04-02,28092.71,34803.48,10211.8,33255.36,-1.0
2018-04-03,27912.83,34235.52,10245.0,33370.63,-1.0
2018-04-04,27874.73,33824.04,10128.4,33019.07,-1.0
2018-04-05,27673.08,34102.89,10325.15,33596.8,-1.0
2018-04-06,27774.72,34057.87,10331.6,33626.97,-1.0
2018-04-09,27884.95,34428.93,10379.35,33788.54,-1.0
2018-04-10,27989.01,34550.36,10402.25,33880.25,-1.0
2018-04-11,28315.54,34938.85,10417.15,33940.44,-0.99
2018-04-12,28051.62,34463.0,10458.65,34101.13,-0.99
2018-04-13,28222.82,34896.56,10480.6,34192.65,-0.99
2018-04-16,28244.78,34925.01,10528.35,34305.43,-0.99
2018-04-17,28339.71,35281.59,10548.7,34395.06,-0.99
2018-04-18,28530.59,36383.26,10526.2,34331.68,-1.0
2018-04-19,28582.74,36549.75,10565.3,34427.29,-1.0
2018-04-20,28413.43,36448.35,10564.05,34415.58,-1.0
2018-04-23,28146.5,35267.72,10584.7,34450.77,-1.0
2018-04-24,28484.92,35701.36,10614.35,34616.64,-1.0
2018-04-25,28211.09,35201.94,10570.55,34501.27,-0.95
2018-04-26,28315.36,35467.87,10617.8,34713.6,-0.95
2018-04-27,28398.14,35287.42,10692.3,34969.7,-0.95
2018-04-30,28187.23,34933.15,10739.35,35160.36,-0.95
2018-05-01,27854.61,34265.99,10739.35,35160.36,-0.95
2018-05-02,27970.81,34981.77,10718.05,35176.42,-0.95
2018-05-03,28267.5,35287.47,10679.65,35103.14,-0.95
2018-05-04,28133.38,35220.84,10618.25,34915.38,-0.95
2018-05-07,28186.15,35255.25,10715.5,35208.14,-0.95
2018-05-08,28311.9,35363.98,10717.8,35216.32,-0.95
2018-05-09,28315.22,35538.16,10741.7,35319.35,-0.99
2018-05-10,28714.64,36262.88,10716.55,35246.27,-0.99
2018-05-11,28577.97,36130.87,10806.5,35535.79,-0.99
2018-05-14,28520.5,35897.05,10806.6,35556.71,-0.99
2018-05-15,28045.15,35236.5,10801.85,35543.94,-0.99
2018-05-16,28397.82,35870.35,10741.1,35387.88,-0.98
2018-05-17,28188.13,35914.59,10682.7,35149.12,-0.98
2018-05-18,28265.08,35899.85,10596.4,34848.3,-0.98
2018-05-21,28196.64,35954.97,10516.7,34616.13,-0.98
2018-05-22,28405.92,36302.93,10536.7,34651.24,-0.98
2018-05-23,28365.58,35944.83,10430.35,34344.91,-1.0
2018-05-24,28774.6,36685.02,10513.85,34663.11,-1.0
2018-05-25,28602.4,36169.42,10605.15,34924.87,-1.0
2018-05-28,28376.79,35884.14,10688.65,35165.48,-1.0
2018-05-29,28143.48,35333.76,10633.3,34949.24,-1.0
2018-05-30,28508.45,36096.1,10614.35,34906.11,-1.0
2018-05-31,28185.19,35558.3,10736.15,35322.38,-0.01
2018-06-01,28072.37,35530.59,10696.2,35227.26,-0.01
2018-06-04,27823.49,35242.51,10628.5,35011.89,-0.01
2018-06-05,27974.48,35555.07,10593.15,34903.21,-0.01
2018-06-06,27978.36,35896.69,10684.65,35178.88,-0.01
2018-06-07,27904.36,36024.06,10768.35,35463.08,-1.0
2018-06-08,28133.49,36180.61,10767.65,35443.67,-1.0
2018-06-11,28192.59,36692.25,10786.95,35483.47,-1.0
2018-06-12,28101.78,36559.87,10842.85,35692.52,-1.0
2018-06-13,28315.96,37014.45,10856.7,35739.16,-1.0
2018-06-14,28416.48,37538.51,10808.05,35599.82,-1.0
2018-06-15,27919.22,36036.96,10817.7,35622.14,-1.0
2018-06-18,27921.45,35907.13,10799.85,35548.26,-1.0
2018-06-19,27891.92,35647.69,10710.45,35286.74,-1.0
2018-06-20,27812.05,35638.02,10772.05,35547.33,-1.0
2018-06-21,27846.76,35832.49,10741.1,35432.39,-0.93
2018-06-22,27639.27,35849.93,10821.85,35689.6,-0.93
2018-06-25,27610.15,35577.3,10762.45,35470.35,-0.71
2018-06-26,27609.79,35677.84,10769.15,35490.04,-0.71
2018-06-27,27536.37,35473.29,10671.4,35217.11,-0.71
2018-06-28,27777.5,35508.8,10589.1,35037.64,-1.0
2018-06-29,27677.07,35619.88,10714.3,35423.48,-1.0
2018-07-02,27278.53,34640.52,10657.3,35264.41,-1.0
2018-07-03,27642.7,35231.41,10699.9,35378.6,-1.0
2018-07-04,27697.11,35300.75,10769.9,35645.4,-1.0
