Date,Gold Price (INR / 10gms),Silver Price (INR / 1kg),Price_Nifty,Price_Sensex
01-01-2018,,,,33812.75
02-01-2018,26975.4,35156.11,10442.2,33812.26
03-01-2018,26854.25,35062.32,10443.2,33793.38
04-01-2018,26902.19,35047.88,10504.8,33969.64
05-01-2018,26899.53,35053.12,10558.85,34153.85
08-01-2018,26820.55,34708.46,10623.6,34352.79
09-01-2018,26759.06,34549.94,10637.0,34443.19
10-01-2018,26953.32,34705.42,10632.2,34433.07
11-01-2018,27071.4,34631.54,10651.2,34503.49
12-01-2018,27296.11,34942.05,10681.25,34592.39
15-01-2018,27260.27,34896.17,10741.55,34843.51
16-01-2018,27272.26,34967.47,10700.45,34771.05
17-01-2018,27528.88,35192.93,10788.55,35081.82
18-01-2018,27209.8,34664.8,10817.0,35260.29
19-01-2018,27349.12,34856.31,10894.7,35511.58
22-01-2018,27313.39,34746.64,10966.2,35798.01
23-01-2018,27432.51,34616.68,11083.7,36139.98
24-01-2018,27790.88,35714.73,11086.0,36161.64
25-01-2018,27848.5,35875.6,11069.65,36050.44
26-01-2018,27625.66,35527.46,11069.65,36050.44
29-01-2018,27624.31,35525.73,11130.4,36283.25
30-01-2018,27335.89,34825.93,11049.65,36033.73
31-01-2018,27452.85,35272.5,11027.7,35965.02
01-02-2018,27516.17,35038.45,11016.9,35906.66
02-02-2018,27432.13,34299.93,10760.6,35066.75
05-02-2018,27485.23,34308.08,10666.55,34757.16
06-02-2018,27420.64,34217.38,10498.25,34195.94
07-02-2018,26979.67,33335.82,10476.7,34082.71
08-02-2018,27181.84,33673.36,10576.85,34413.16
09-02-2018,27204.94,33389.29,10454.95,34005.76
12-02-2018,27337.33,34162.38,10539.75,34300.47
13-02-2018,27448.67,34116.05,10539.75,34300.47
14-02-2018,28000.41,34823.38,10500.9,34155.95
15-02-2018,27832.41,34534.75,10545.5,34297.47
16-02-2018,27796.62,34293.87,10452.3,34010.76
19-02-2018,28009.41,34556.4,10378.4,33774.66
20-02-2018,27557.77,34063.54,10360.4,33703.59
21-02-2018,27736.59,34626.95,10397.45,33844.86
22-02-2018,27761.94,34590.8,10382.7,33819.5
23-02-2018,27735.95,34405.78,10491.05,34142.15
26-02-2018,27681.88,34411.49,10582.6,34445.75
27-02-2018,27398.42,34044.44,10554.3,34346.39
28-02-2018,27453.24,34066.64,10492.85,34184.04
01-03-2018,27328.52,33979.74,10458.35,34046.94
02-03-2018,27672.04,34335.03,10458.35,34046.94
05-03-2018,27624.75,34241.2,10358.85,33746.78
06-03-2018,27871.14,34932.97,10249.25,33317.2
07-03-2018,27663.83,34273.11,10154.2,33033.09
08-03-2018,27537.08,34290.44,10242.65,33351.57
09-03-2018,27673.93,34625.9,10226.85,33307.14
12-03-2018,27557.91,34402.48,10421.4,33917.94
13-03-2018,27685.41,34575.96,10426.85,33856.78
14-03-2018,27604.1,34321.7,10410.9,33835.74
15-03-2018,27449.38,34088.67,10360.15,33685.54
16-03-2018,27409.6,33866.41,10195.15,33176.0
19-03-2018,27545.99,34003.64,10094.25,32923.12
20-03-2018,27487.91,33806.92,10124.35,32996.76
21-03-2018,27698.65,34305.05,10155.25,33136.18
22-03-2018,27751.24,34156.66,10114.75,33006.27
23-03-2018,28267.06,34629.41,9998.05,32596.54
26-03-2018,28310.76,34765.55,10130.65,33066.41
27-03-2018,27898.94,34297.0,10184.15,33174.39
28-03-2018,27628.62,33810.74,10113.7,32968.68
29-03-2018,27707.31,33980.62,10113.7,32968.68
30-03-2018,27656.61,33918.45,10113.7,32968.68
